iter	RMSE
0	8562225.226
1	7252182.336
2	6381491.28
3	5834536.37
4	5477991.43
5	5234551.15
6	5070406.793
7	4961164.306
8	4875696.111
9	4812487.684
10	4762891.385
11	4729221.1
12	4707110.215
13	4684322.398
14	4664078.066
15	4647464.407
16	4633334.875
17	4620980.069
18	4611657.564
19	4599205.203
20	4578330.469
21	4570167
22	4563876.537
23	4556311.005
24	4550975.376
25	4544014.658
26	4539219.584
27	4533078.678
28	4527839.207
29	4515659.841
30	4508371.368
31	4505233.229
32	4498009.273
33	4489263.535
34	4480090.675
35	4476186.954
36	4467174.829
37	4462021.989
38	4455314.767
39	4449529.131
40	4445304.82
41	4441090.542
42	4434902.546
43	4431203.705
44	4418513.583
45	4413362.763
46	4406730.495
47	4403908.822
48	4396039.775
49	4392641.198
50	4389631.724
51	4384812.058
52	4378371.808
53	4375216.78
54	4372008.941
55	4365080.913
56	4361739.802
57	4360240.876
58	4357314.372
59	4350064.072
60	4345901.804
61	4341708.404
62	4335410.626
63	4332231.166
64	4328473.45
65	4325238.605
66	4321221.454
67	4318023.176
68	4315357.11
69	4312894.728
70	4308829.457
71	4307010.785
72	4305148.337
73	4301464.825
74	4299530.276
75	4298443.578
76	4294915.996
77	4288456.519
78	4286372.453
79	4285390.742
80	4283737.716
81	4282406.456
82	4280858.156
83	4276422.485
84	4273327.491
85	4271527.905
86	4269324.029
87	4266981.31
88	4264413.219
89	4262537.156
90	4260239.109
91	4256298.298
92	4253682.638
93	4251801.31
94	4249076.855
95	4245349.813
96	4241264.879
97	4238629.679
98	4234647.354
99	4231940.107
100	4229592.302
101	4226942.881
102	4224729.601
103	4223319.264
104	4221207.806
105	4220171.115
106	4218747.611
107	4215978.017
108	4212238.208
109	4210386.434
110	4208490.698
111	4206665.839
112	4204951.494
113	4203091.108
114	4200813.537
115	4199651.085
116	4196116.825
117	4195046.762
118	4191944.314
119	4191489.747
120	4188203.646
121	4186872.48
122	4184281.182
123	4182221.434
124	4178592.367
125	4176426.21
126	4175682.76
127	4173915.343
128	4172031.695
129	4168626.504
130	4165991.206
131	4163914.654
132	4162169.058
133	4160759.598
134	4159878.509
135	4158449.001
136	4156731.941
137	4155857.545
138	4155693.475
139	4154108.629
140	4151120.559
141	4148872.956
142	4147600.199
143	4146826.463
144	4145579.07
145	4144073.277
146	4143487.843
147	4141585.835
148	4140621.651
149	4138990.647
150	4136237.377
151	4135532.84
152	4132217.62
153	4130480.409
154	4129196.715
155	4125240.168
156	4124604.88
157	4123362.941
158	4121559.53
159	4119983.27
160	4118732.041
161	4118696.489
162	4118599.444
163	4117985.725
164	4117133.239
165	4115836.873
166	4113112.879
167	4111623.994
168	4110206.708
169	4108672.423
170	4106641.958
171	4105302.47
172	4103453.997
173	4098558.329
174	4094288.66
175	4092595.691
176	4091002.16
177	4089946.89
178	4088157.171
179	4087043.485
180	4086339.931
181	4084765.27
182	4083081.824
183	4082144.433
184	4081373.306
185	4080815.331
186	4080449.804
187	4079343.148
188	4077434.541
189	4075964.917
190	4074370.523
191	4073591.564
192	4072872.837
193	4071264.569
194	4067107.934
195	4065632.481
196	4065623.731
197	4063334.116
198	4062217.607
199	4060785.235
200	4059251.939
201	4057831.969
202	4057003.388
203	4056347.435
204	4054581.283
205	4052562.394
206	4052219.545
207	4050963.886
208	4049768.185
209	4048340.138
210	4047770.497
211	4046707.437
212	4046136.733
213	4044915.321
214	4044380.524
215	4043808.756
216	4042343.231
