iter	Passed	Remaining
0	90	90038
1	134	67092
2	173	57755
3	208	51995
4	243	48522
5	278	46141
6	321	45546
7	356	44187
8	393	43355
9	431	42744
10	471	42425
11	506	41703
12	539	40981
13	571	40283
14	610	40093
15	649	39968
16	682	39481
17	720	39290
18	758	39185
19	797	39085
20	836	39007
21	873	38851
22	904	38430
23	943	38363
24	982	38330
25	1020	38238
26	1050	37873
27	1086	37713
28	1120	37529
29	1158	37456
30	1194	37348
31	1231	37263
32	1265	37084
33	1298	36906
34	1335	36810
35	1367	36615
36	1400	36460
37	1436	36368
38	1472	36279
39	1509	36219
40	1542	36083
41	1579	36019
42	1612	35891
43	1645	35757
44	1676	35584
45	1710	35471
46	1747	35425
47	1780	35303
48	1816	35260
49	1854	35231
50	1891	35205
51	1928	35153
52	1968	35166
53	2012	35257
54	2043	35110
55	2079	35051
56	2112	34955
57	2138	34734
58	2175	34689
59	2212	34654
60	2250	34635
61	2283	34554
62	2319	34496
63	2356	34462
64	2393	34427
65	2429	34387
66	2464	34318
67	2504	34330
68	2539	34260
69	2574	34208
70	2609	34149
71	2646	34110
72	2681	34053
73	2718	34016
74	2754	33975
75	2782	33825
76	2810	33693
77	2842	33598
78	2879	33564
79	2911	33482
80	2943	33399
81	2976	33326
82	3014	33299
83	3051	33272
84	3088	33248
85	3121	33177
86	3158	33145
87	3195	33113
88	3227	33038
89	3261	32981
90	3293	32897
91	3330	32866
92	3363	32799
93	3399	32768
94	3429	32672
95	3466	32645
96	3504	32626
97	3541	32591
98	3577	32555
99	3613	32519
100	3650	32496
101	3685	32443
102	3721	32406
103	3758	32379
104	3794	32347
105	3830	32306
106	3857	32197
107	3894	32162
108	3930	32127
109	3966	32093
110	3994	31991
111	4029	31947
112	4063	31897
113	4094	31824
114	4128	31770
115	4164	31733
116	4200	31703
117	4235	31657
118	4274	31647
119	4306	31584
120	4339	31521
121	4369	31447
122	4402	31391
123	4438	31358
124	4472	31306
125	4505	31253
126	4539	31207
127	4576	31178
128	4609	31121
129	4646	31093
130	4682	31058
131	4710	30975
132	4747	30945
133	4780	30895
134	4814	30849
135	4847	30794
136	4880	30742
137	4914	30694
138	4933	30556
139	4965	30501
140	5002	30473
141	5040	30458
142	5077	30429
143	5113	30394
144	5149	30362
145	5185	30329
146	5214	30258
147	5250	30226
148	5285	30186
149	5322	30161
150	5355	30110
151	5383	30033
152	5416	29983
153	5452	29953
154	5488	29920
155	5521	29874
156	5553	29820
157	5589	29785
158	5625	29757
159	5661	29721
160	5693	29668
161	5718	29580
162	5755	29554
163	5793	29533
164	5824	29475
165	5857	29427
166	5890	29381
167	5926	29351
168	5960	29311
169	5994	29269
170	6032	29243
171	6066	29203
172	6102	29170
173	6134	29122
174	6169	29085
175	6201	29034
176	6236	28999
177	6269	28952
178	6304	28918
179	6339	28878
180	6377	28855
181	6413	28824
182	6449	28793
183	6481	28746
184	6517	28713
185	6555	28690
186	6587	28638
187	6622	28604
188	6659	28575
189	6695	28544
190	6733	28519
191	6765	28472
192	6801	28440
193	6838	28412
194	6871	28365
195	6903	28317
196	6921	28214
197	6954	28170
198	6986	28120
199	7023	28092
200	7060	28066
201	7097	28038
202	7134	28012
203	7169	27974
204	7206	27946
205	7242	27916
206	7272	27858
207	7306	27819
208	7337	27771
209	7371	27732
210	7407	27700
211	7441	27659
212	7474	27615
213	7508	27577
214	7545	27548
215	7582	27521
216	7617	27485
217	7652	27452
218	7690	27425
219	7724	27387
220	7758	27348
221	7793	27313
222	7829	27282
223	7862	27236
224	7900	27211
225	7937	27182
226	7969	27139
227	8002	27097
228	8038	27065
229	8075	27033
230	8111	27004
231	8140	26947
232	8176	26916
233	8213	26886
234	8249	26855
235	8281	26810
236	8317	26778
237	8345	26719
238	8381	26688
239	8420	26664
240	8453	26624
241	8484	26575
242	8521	26544
243	8545	26476
244	8582	26449
245	8621	26424
246	8659	26398
247	8695	26367
248	8731	26335
249	8768	26306
250	8803	26270
251	8841	26242
252	8877	26210
253	8913	26178
254	8947	26141
255	8983	26108
256	9018	26073
257	9056	26046
258	9085	25992
259	9122	25965
260	9160	25937
261	9195	25900
262	9229	25863
263	9264	25828
264	9292	25774
265	9330	25745
266	9366	25713
267	9402	25681
268	9440	25653
269	9473	25613
270	9510	25583
271	9546	25551
272	9583	25522
273	9621	25494
274	9654	25451
275	9692	25423
276	9726	25387
277	9761	25352
278	9795	25314
279	9832	25284
280	9870	25256
281	9909	25229
282	9944	25194
283	9979	25160
284	10013	25121
285	10048	25086
286	10078	25039
287	10114	25004
288	10154	24981
289	10190	24949
290	10210	24876
291	10246	24844
292	10279	24804
293	10327	24799
294	10364	24769
295	10401	24738
296	10436	24703
297	10471	24666
298	10504	24628
299	10536	24586
300	10574	24555
301	10610	24524
302	10641	24478
303	10677	24446
304	10714	24416
305	10742	24364
306	10773	24319
307	10810	24288
308	10844	24250
309	10881	24220
310	10917	24187
311	10952	24152
312	10992	24126
313	11029	24097
314	11067	24066
315	11103	24034
316	11141	24004
317	11179	23975
318	11213	23939
319	11252	23911
320	11289	23880
321	11325	23847
322	11350	23790
323	11387	23758
324	11420	23720
325	11458	23690
326	11488	23645
327	11526	23615
328	11561	23579
329	11597	23547
330	11635	23516
331	11663	23466
332	11697	23430
333	11733	23397
334	11771	23367
335	11808	23336
336	11845	23304
337	11882	23272
338	11920	23243
339	11956	23208
340	11992	23176
341	12028	23143
342	12066	23112
343	12102	23079
344	12130	23029
345	12167	22999
346	12194	22948
347	12227	22909
348	12266	22880
349	12301	22845
350	12338	22813
351	12375	22781
352	12412	22750
353	12447	22714
354	12481	22677
355	12516	22641
356	12550	22605
357	12588	22575
358	12633	22556
359	12667	22520
360	12706	22491
361	12743	22458
362	12771	22411
363	12804	22372
364	12835	22330
365	12869	22292
366	12902	22254
367	12933	22211
368	12970	22179
369	13007	22147
370	13040	22109
371	13075	22073
372	13112	22041
373	13147	22007
374	13181	21968
375	13216	21934
376	13245	21887
377	13281	21855
378	13315	21817
379	13349	21780
380	13384	21745
381	13421	21713
382	13451	21669
383	13487	21636
384	13522	21601
385	13559	21568
386	13597	21538
387	13633	21504
388	13670	21471
389	13699	21427
390	13733	21390
391	13766	21352
392	13802	21318
393	13836	21281
394	13873	21248
395	13910	21216
396	13947	21184
397	13983	21151
398	14020	21118
399	14052	21079
400	14090	21048
401	14127	21015
402	14162	20980
403	14197	20944
404	14234	20912
405	14270	20877
406	14306	20844
407	14340	20808
408	14374	20771
409	14411	20738
410	14443	20698
411	14480	20665
412	14515	20631
413	14548	20593
414	14585	20560
415	14620	20525
416	14649	20480
417	14683	20444
418	14716	20405
419	14749	20368
420	14781	20329
421	14817	20294
422	14854	20261
423	14891	20230
424	14928	20197
425	14961	20158
426	14986	20111
427	15025	20080
428	15058	20043
429	15096	20011
430	15132	19978
431	15168	19943
432	15205	19911
433	15239	19874
434	15275	19840
435	15308	19802
436	15345	19769
437	15378	19732
438	15409	19692
439	15444	19656
440	15480	19623
441	15513	19584
442	15549	19550
443	15585	19516
444	15620	19482
445	15650	19440
446	15682	19401
447	15714	19361
448	15744	19321
449	15780	19286
450	15816	19252
451	15854	19222
452	15891	19188
453	15923	19150
454	15958	19114
455	15988	19074
456	16020	19034
457	16055	18999
458	16092	18966
459	16123	18927
460	16159	18894
461	16196	18860
462	16233	18827
463	16263	18787
464	16298	18751
465	16334	18718
466	16371	18685
467	16408	18652
468	16442	18616
469	16479	18583
470	16516	18550
471	16553	18516
472	16590	18484
473	16623	18447
474	16659	18413
475	16697	18380
476	16732	18345
477	16763	18306
478	16795	18268
479	16832	18234
480	16865	18198
481	16899	18161
482	16936	18128
483	16972	18094
484	17009	18061
485	17042	18024
486	17079	17991
487	17116	17958
488	17147	17918
489	17183	17885
490	17206	17837
491	17243	17804
492	17279	17770
493	17315	17735
494	17350	17700
495	17386	17667
496	17423	17633
497	17453	17594
498	17493	17564
499	17526	17526
500	17562	17492
501	17595	17455
502	17632	17421
503	17664	17384
504	17695	17345
505	17729	17308
506	17767	17276
507	17804	17243
508	17830	17200
509	17867	17166
510	17903	17132
511	17936	17095
512	17973	17062
513	18009	17028
514	18047	16996
515	18084	16962
516	18120	16929
517	18157	16895
518	18189	16857
519	18219	16818
520	18254	16782
521	18292	16750
522	18325	16713
523	18358	16676
524	18390	16639
525	18427	16605
526	18464	16572
527	18496	16535
528	18533	16501
529	18563	16461
530	18600	16429
531	18625	16384
532	18661	16351
533	18698	16317
534	18732	16281
535	18769	16248
536	18803	16212
537	18836	16175
538	18872	16141
539	18909	16107
540	18939	16068
541	18976	16035
542	19012	16001
543	19048	15967
544	19068	15919
545	19104	15885
546	19136	15847
547	19172	15813
548	19209	15780
549	19242	15743
550	19281	15712
551	19315	15676
552	19354	15644
553	19387	15608
554	19424	15574
555	19460	15540
556	19493	15503
557	19529	15469
558	19568	15437
559	19600	15400
560	19638	15367
561	19679	15337
562	19710	15298
563	19742	15261
564	19779	15228
565	19816	15194
566	19852	15161
567	19889	15127
568	19925	15092
569	19963	15060
570	19998	15025
571	20031	14988
572	20066	14953
573	20102	14919
574	20135	14882
575	20160	14840
576	20191	14802
577	20228	14768
578	20264	14734
579	20300	14700
580	20337	14666
581	20367	14627
582	20401	14592
583	20432	14555
584	20470	14521
585	20503	14485
586	20537	14449
587	20571	14414
588	20599	14374
589	20633	14338
590	20675	14308
591	20708	14272
592	20742	14236
593	20779	14202
594	20818	14170
595	20858	14139
596	20895	14105
597	20932	14071
598	20965	14035
599	21002	14001
600	21035	13965
601	21073	13932
602	21109	13898
603	21143	13862
604	21180	13828
605	21217	13794
606	21254	13760
607	21284	13723
608	21320	13688
609	21355	13653
610	21389	13617
611	21425	13583
612	21460	13548
613	21497	13514
614	21533	13480
615	21562	13441
616	21597	13406
617	21634	13372
618	21671	13338
619	21704	13302
620	21740	13268
621	21775	13233
622	21808	13197
623	21834	13156
624	21868	13121
625	21904	13086
626	21939	13051
627	21977	13018
628	22015	12985
629	22052	12951
630	22087	12916
631	22120	12880
632	22153	12843
633	22190	12810
634	22227	12776
635	22261	12740
636	22293	12704
637	22328	12668
638	22362	12633
639	22399	12599
640	22436	12565
641	22474	12532
642	22507	12496
643	22542	12461
644	22573	12423
645	22606	12388
646	22640	12352
647	22672	12315
648	22708	12281
649	22743	12246
650	22780	12212
651	22816	12178
652	22853	12144
653	22891	12110
654	22927	12076
655	22964	12042
656	22995	12005
657	23032	11971
658	23069	11937
659	23105	11902
660	23143	11869
661	23179	11834
662	23211	11798
663	23244	11762
664	23276	11725
665	23310	11690
666	23344	11654
667	23378	11619
668	23415	11585
669	23452	11551
670	23478	11512
671	23510	11475
672	23547	11441
673	23587	11408
674	23623	11374
675	23660	11340
676	23696	11305
677	23725	11267
678	23762	11233
679	23796	11198
680	23828	11162
681	23862	11126
682	23899	11092
683	23938	11059
684	23972	11023
685	24006	10988
686	24035	10950
687	24061	10911
688	24098	10877
689	24134	10843
690	24171	10808
691	24207	10774
692	24240	10738
693	24274	10703
694	24309	10668
695	24347	10634
696	24383	10600
697	24419	10565
698	24458	10532
699	24492	10496
700	24527	10461
701	24561	10426
702	24596	10391
703	24632	10356
704	24666	10321
705	24702	10286
706	24737	10251
707	24768	10215
708	24805	10181
709	24841	10146
710	24876	10111
711	24913	10077
712	24951	10043
713	24987	10009
714	25024	9974
715	25056	9938
716	25094	9904
717	25129	9869
718	25166	9835
719	25202	9800
720	25239	9766
721	25272	9731
722	25309	9696
723	25345	9662
724	25379	9626
725	25415	9592
726	25453	9558
727	25489	9523
728	25526	9489
729	25557	9452
730	25599	9420
731	25635	9385
732	25671	9350
733	25704	9315
734	25736	9279
735	25775	9245
736	25808	9209
